Defects,Formation_Energies
GaAs_III_V_M_B_Sb.cif,0.00
GaAs_III_V_M_B_Si.cif,-0.34
GaAs_III_V_M_B_Sn.cif,-0.01
GaAs_III_V_M_B_Te.cif,0.00
GaAs_III_V_M_B_V.cif,-0.33
GaAs_III_V_M_B_Zn.cif,0.00
GaAs_III_V_M_i_A_Cr.cif,-1.36
GaAs_III_V_M_i_A_Cu.cif,-0.45
GaAs_III_V_M_i_A_Fe.cif,-0.10
GaAs_III_V_M_i_A_Mn.cif,-0.33
GaAs_III_V_M_i_A_N.cif,-0.13
GaAs_III_V_M_i_A_Ni.cif,-0.64
GaAs_III_V_M_i_A_Ti.cif,-0.22
GaAs_III_V_M_i_A_V.cif,-0.96
GaAs_III_V_M_i_B_Cr.cif,-1.41
GaAs_III_V_M_i_B_Cu.cif,-0.32
GaAs_III_V_M_i_B_Mn.cif,-0.68
GaAs_III_V_M_i_B_Ni.cif,-0.80
GaAs_III_V_M_i_B_Ti.cif,-0.39
GaAs_III_V_M_i_B_V.cif,-1.11
GaAs_III_V_M_i_neut_Cr.cif,-0.83
GaAs_III_V_M_i_neut_Ni.cif,-0.53
GaAs_III_V_M_i_neut_V.cif,-0.40
GaAs_V_Ga.cif,0.00
GaN_III_V_M_A_Be.cif,0.00
GaN_III_V_M_A_Cr.cif,-2.23
GaN_III_V_M_A_Fe.cif,-0.03
GaN_III_V_M_A_Mn.cif,-0.62
GaN_III_V_M_A_Nb.cif,-0.74
GaN_III_V_M_A_Ni.cif,0.00
GaN_III_V_M_A_Ti.cif,0.00
GaN_III_V_M_A_V.cif,-2.00
GaN_III_V_M_B_Cr.cif,-1.46
GaN_III_V_M_B_Mn.cif,-0.14
GaN_III_V_M_B_V.cif,-0.82
GaN_III_V_M_i_B_Cr.cif,-0.15
GaN_III_V_M_i_B_Li.cif,-0.03
GaP_III_V_M_A_Cr.cif,-1.25
GaP_III_V_M_A_Cu.cif,0.00
GaP_III_V_M_A_Fe.cif,0.00
GaP_III_V_M_A_Mn.cif,-0.26
GaP_III_V_M_A_N.cif,-0.01
GaP_III_V_M_A_Ni.cif,0.00
GaP_III_V_M_A_Ti.cif,-0.15
